id_int,id,location_type,net_type,parent_station,route_type,stop_code,stop_id,stop_name,unique_agency_id,wheelchair_boarding,x,y
217,000000538091_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053809,3.0,,000000538091,Arningstraße (Fähre),hamburger_verkehrsverbund_(hvv),,9.984574079481,53.537407071278
218,000000538101_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053810,3.0,,000000538101,Vogelreth,hamburger_verkehrsverbund_(hvv),,9.981855314703,53.532685142325
219,000000538102_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053810,3.0,,000000538102,Vogelreth,hamburger_verkehrsverbund_(hvv),,9.981810184094,53.532038563079006
220,000000538111_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053811,3.0,,000000538111,Worthdamm,hamburger_verkehrsverbund_(hvv),,9.9814360644,53.528905724846
221,000000538112_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053811,3.0,,000000538112,Worthdamm,hamburger_verkehrsverbund_(hvv),,9.981390831654,53.52890609636599
222,000000538131_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053813,3.0,,000000538131,Kamerunweg,hamburger_verkehrsverbund_(hvv),,9.985836090602,53.527458791349
223,000000538141_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053814,3.0,,000000538141,Australiastraße (Hafenmuseum),hamburger_verkehrsverbund_(hvv),,9.999045557571,53.526154011518
224,000000538162_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053816,3.0,,000000538162,Sachsenbrücke,hamburger_verkehrsverbund_(hvv),,10.01642266694,53.527013824755
225,090000119421_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011942,1.0,,090000119421,HafenCity Universität,hamburger_verkehrsverbund_(hvv),1.0,10.007652960953,53.540629155093
226,000000110046_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011050,3.0,,000000110046_G,U Überseequartier,hamburger_verkehrsverbund_(hvv),,9.997096427646001,53.540744657286
227,000000110012_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011026,3.0,,000000110012_G,Magellan-Terrassen,hamburger_verkehrsverbund_(hvv),,9.993293939072,53.542627318465
228,000000110191_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011043,3.0,,000000110191_G,Rathausmarkt (Petrikirche),hamburger_verkehrsverbund_(hvv),,9.996237342498,53.549764188547
229,000000110194_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011044,3.0,,000000110194_G,Auf dem Sande (Speicherstadt),hamburger_verkehrsverbund_(hvv),,9.989880526895,53.543742875229995
230,000000110195_G_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011046,3.0,,000000110195_G,Bei St.Annen,hamburger_verkehrsverbund_(hvv),,9.997160833347,53.545407549839
231,000000538132_hamburger_verkehrsverbund_(hvv),0.0,transit,000000053813,3.0,,000000538132,Kamerunweg,hamburger_verkehrsverbund_(hvv),,9.986002564534001,53.527484374002
