education,food,groceries,nightlife,x,y
0,1,0,0,9.9869465,53.565001
1,0,0,0,9.8133685,53.6900883
0,1,0,0,10.1986781,53.4179925
0,0,1,0,10.1167103,53.4306333
0,1,0,1,9.9915139,53.4469374
0,1,0,1,9.9906998,53.4455155
0,1,0,0,10.0042944,53.437008
0,0,1,0,9.9887502,53.4392407
0,1,0,0,10.0705686,53.5734372
0,0,1,0,9.9867755,53.4327831
0,1,0,1,9.9896944,53.447609
0,1,0,0,10.0745017,53.5751944
0,1,0,0,10.0751321,53.5754515
0,1,0,0,10.0747646,53.5753122
0,1,0,0,9.9751236,53.5585523
0,1,0,0,9.975182,53.5591638
0,1,0,1,9.9296654,53.4823142
0,1,0,0,10.0525774,53.5572346
0,0,1,0,9.9501304,53.5623097
0,1,0,0,9.9572332,53.562657
0,1,0,1,9.9608184,53.5627701
0,1,0,1,9.9617094,53.5614918
0,0,0,1,9.9643633,53.5625379
0,0,1,0,10.0678277,53.5226614
0,0,1,0,9.9871896,53.4496907
0,1,0,0,9.9674188,53.5579557
0,0,0,1,9.9676227,53.5575095
0,0,1,0,9.9154785,53.5617881
0,0,1,0,9.9157754,53.5625966
0,1,0,0,9.7459264,53.5926808
0,1,0,1,9.982269,53.5674743
0,1,0,0,9.9813691,53.5634018
0,1,0,0,9.9821728,53.5615696
0,1,0,0,9.8420958,53.6437926
0,0,1,0,9.9637333,53.5995852
0,1,0,0,9.9311987,53.5531751
0,1,0,0,9.9615757,53.580184
0,1,0,1,9.962467,53.5620242
0,1,0,1,9.9996522,53.6718231
0,1,0,0,9.9997616,53.6718596
0,0,1,0,10.0967234,53.6180736
0,1,0,0,10.0443965,53.5729398
0,0,1,0,10.0271125,53.5824937
0,0,1,0,10.1145536,53.6242962
0,0,1,0,10.1151973,53.6243309
0,0,1,0,10.1172764,53.6257204
0,1,0,0,9.8424927,53.6380131
0,1,0,1,9.9522115,53.5453829
0,1,0,0,9.9809799,53.4507444
1,0,0,0,9.9780535,53.5680968
0,1,0,1,9.9582505,53.552061
0,1,0,0,10.0136866,53.5595059
0,1,0,0,9.9861813,53.5545585
0,1,0,0,10.1264849,53.583719
0,1,0,0,10.0586722,53.5744323
0,1,0,0,9.9288592,53.5547687
0,1,0,0,10.099214,53.6246904
0,0,0,1,10.0373367,53.6415049
0,1,0,1,10.0371978,53.6413282
0,1,0,0,10.0366726,53.6408795
0,1,0,0,10.0734614,53.6176611
0,0,1,0,10.1361706,53.5929755
0,1,0,0,9.9637627,53.5744652
0,1,0,0,9.9662217,53.5752192
0,1,0,0,9.9618168,53.5739733
0,1,0,0,9.9792639,53.5657138
0,1,0,0,9.9646285,53.5788707
0,1,0,0,9.9326875,53.5967297
0,1,0,0,9.922237,53.5994624
0,1,0,0,9.9812512,53.5675449
0,1,0,0,9.9799383,53.5680394
0,0,1,0,9.9804125,53.5683667
0,1,0,0,9.9891415,53.5712691
