,,access,area,bridge,distance,est_width,from,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel,width,weight,net_type,from_int,to_int
299705389,299759617,,,,13.772378,,299705389,residential,,2,30,Kuusisaarenpolku,,,,299759617,,,0.165268536,walk,1477,1481
299759617,299705389,,,,13.772378,,299759617,residential,,2,30,Kuusisaarenpolku,,,,299705389,,,0.165268536,walk,1481,1477
299759617,299705375,,,,29.072902,,299759617,residential,,2,30,Kuusisaarenpolku,,,,299705375,,,0.34887482400000003,walk,1481,1476
299705375,299759617,,,,29.072902,,299705375,residential,,2,30,Kuusisaarenpolku,,,,299759617,,,0.34887482400000003,walk,1476,1481
299705375,877599669,,,,54.053721,,299705375,residential,,2,30,Kuusisaarenpolku,,,,877599669,,,0.6486446520000001,walk,1476,2925
877599669,299705375,,,,54.053721,,877599669,residential,,2,30,Kuusisaarenpolku,,,,299705375,,,0.6486446520000001,walk,2925,1476
24556222,24556218,,,,110.911059,,24556222,cycleway,,,,,,,,24556218,,,1.330932708,walk,24,23
24556218,24556222,,,,110.911059,,24556218,cycleway,,,,,,,,24556222,,,1.330932708,walk,23,24
24556192,299702111,,,,44.489683,,24556192,residential,,2,30,Kuusiniementie,,,,299702111,,,0.533876196,walk,19,1471
299702111,24556192,,,,44.489683,,299702111,residential,,2,30,Kuusiniementie,,,,24556192,,,0.533876196,walk,1471,19
299702111,299702053,,,,8.401615,,299702111,residential,,2,30,Kuusiniementie,,,,299702053,,,0.10081938,walk,1471,1468
299702053,299702111,,,,8.401615,,299702053,residential,,2,30,Kuusiniementie,,,,299702111,,,0.10081938,walk,1468,1471
299702053,299702050,,,,26.845084,,299702053,residential,,2,30,Kuusiniementie,,,,299702050,,,0.322141008,walk,1468,1467
299702050,299702053,,,,26.845084,,299702050,residential,,2,30,Kuusiniementie,,,,299702053,,,0.322141008,walk,1467,1468
299702050,24556195,,,,53.006441,,299702050,residential,,2,30,Kuusiniementie,,,,24556195,,,0.6360772920000001,walk,1467,20
24556195,299702050,,,,53.006441,,24556195,residential,,2,30,Kuusiniementie,,,,299702050,,,0.6360772920000001,walk,20,1467
24556195,299701727,,,,7.380408,,24556195,residential,,2,30,Kuusiniementie,,,,299701727,,,0.088564896,walk,20,1465
299701727,24556195,,,,7.380408,,299701727,residential,,2,30,Kuusiniementie,,,,24556195,,,0.088564896,walk,1465,20
24556227,338530675,,,,6.430068,,24556227,residential,,,30,Mäntylahdenkuja,,,,338530675,,,0.07716081600000001,walk,27,2139
338530675,24556227,,,,6.430068,,338530675,residential,,,30,Mäntylahdenkuja,,,,24556227,,,0.07716081600000001,walk,2139,27
338530675,6071651851,,,,29.80523,,338530675,residential,,,30,Mäntylahdenkuja,,,,6071651851,,,0.35766276,walk,2139,6574
6071651851,338530675,,,,29.80523,,6071651851,residential,,,30,Mäntylahdenkuja,,,,338530675,,,0.35766276,walk,6574,2139
6071651851,6071651900,,,,13.490151,,6071651851,residential,,,30,Mäntylahdenkuja,,,,6071651900,,,0.16188181199999999,walk,6574,6584
6071651900,6071651851,,,,13.490151,,6071651900,residential,,,30,Mäntylahdenkuja,,,,6071651851,,,0.16188181199999999,walk,6584,6574
24556236,338531279,,,,4.708846,,24556236,residential,,,30,Intendentinkuja,,,,338531279,,,0.056506152000000004,walk,28,2142
338531279,24556236,,,,4.708846,,338531279,residential,,,30,Intendentinkuja,,,,24556236,,,0.056506152000000004,walk,2142,28
338531279,6071651884,,,,38.66077,,338531279,residential,,,30,Intendentinkuja,,,,6071651884,,,0.46392924,walk,2142,6580
6071651884,338531279,,,,38.66077,,6071651884,residential,,,30,Intendentinkuja,,,,338531279,,,0.46392924,walk,6580,2142
25030666,5914399890,,,,5.709234,,25030666,service,,,,,,,,5914399890,,,0.068510808,walk,44,6465
5914399890,25030666,,,,5.709234,,5914399890,service,,,,,,,,25030666,,,0.068510808,walk,6465,44
5914399890,1920757305,,,,15.852132,,5914399890,service,,,,,,,,1920757305,,,0.190225584,walk,6465,3839
1920757305,5914399890,,,,15.852132,,1920757305,service,,,,,,,,5914399890,,,0.190225584,walk,3839,6465
1920757305,1920757314,,,,34.070999,,1920757305,service,,,,,,,,1920757314,,,0.40885198800000006,walk,3839,3840
1920757314,1920757305,,,,34.070999,,1920757314,service,,,,,,,,1920757305,,,0.40885198800000006,walk,3840,3839
1920757314,1920757318,,,,39.288525,,1920757314,service,,,,,,,,1920757318,,,0.4714623,walk,3840,3841
1920757318,1920757314,,,,39.288525,,1920757318,service,,,,,,,,1920757314,,,0.4714623,walk,3841,3840
1920757318,1920757320,,,,32.509234,,1920757318,service,,,,,,,,1920757320,,,0.39011080800000003,walk,3841,3842
1920757320,1920757318,,,,32.509234,,1920757320,service,,,,,,,,1920757318,,,0.39011080800000003,walk,3842,3841
1920757320,1920757325,,,,2.912103,,1920757320,service,,,,,,,,1920757325,,,0.034945236000000005,walk,3842,3843
1920757325,1920757320,,,,2.912103,,1920757325,service,,,,,,,,1920757320,,,0.034945236000000005,walk,3843,3842
1920757325,1920757340,,,,13.390172,,1920757325,service,,,,,,,,1920757340,,,0.160682064,walk,3843,3845
1920757340,1920757325,,,,13.390172,,1920757340,service,,,,,,,,1920757325,,,0.160682064,walk,3845,3843
19475502,6366126621,,,,2.667661,,19475502,residential,,,40,Jämeräntaival,,,,6366126621,,,0.032011932,walk,15,6847
6366126621,19475502,,,,2.667661,,6366126621,residential,,,40,Jämeräntaival,,,,19475502,,,0.032011932,walk,6847,15
6366126621,263970207,,,,11.12668,,6366126621,residential,,,40,Jämeräntaival,,,,263970207,,,0.13352016,walk,6847,1067
263970207,6366126621,,,,11.12668,,263970207,residential,,,40,Jämeräntaival,,,,6366126621,,,0.13352016,walk,1067,6847
263970207,264069953,,,,37.042982,,263970207,residential,,,40,Jämeräntaival,,,,264069953,,,0.444515784,walk,1067,1120
264069953,263970207,,,,37.042982,,264069953,residential,,,40,Jämeräntaival,,,,263970207,,,0.444515784,walk,1120,1067
264069953,264069957,,,,8.349413,,264069953,residential,,,40,Jämeräntaival,,,,264069957,,,0.10019295600000001,walk,1120,1123
264069957,264069953,,,,8.349413,,264069957,residential,,,40,Jämeräntaival,,,,264069953,,,0.10019295600000001,walk,1123,1120
264069957,264069952,,,,28.620645,,264069957,residential,,,40,Jämeräntaival,,,,264069952,,,0.34344774,walk,1123,1119
264069952,264069957,,,,28.620645,,264069952,residential,,,40,Jämeräntaival,,,,264069957,,,0.34344774,walk,1119,1123
264069952,4990319026,,,,70.701503,,264069952,residential,,,40,Jämeräntaival,,,,4990319026,,,0.8484180360000001,walk,1119,5273
4990319026,264069952,,,,70.701503,,4990319026,residential,,,40,Jämeräntaival,,,,264069952,,,0.8484180360000001,walk,5273,1119
4990319026,19475517,,,,77.642466,,4990319026,residential,,,40,Jämeräntaival,,,,19475517,,,0.931709592,walk,5273,16
19475517,4990319026,,,,77.642466,,19475517,residential,,,40,Jämeräntaival,,,,4990319026,,,0.931709592,walk,16,5273
19475517,993274098,,,,12.01872,,19475517,residential,,,40,Jämeräntaival,,,,993274098,,,0.14422464000000002,walk,16,3094
993274098,19475517,,,,12.01872,,993274098,residential,,,40,Jämeräntaival,,,,19475517,,,0.14422464000000002,walk,3094,16
993274098,19475518,,,,12.172271,,993274098,residential,,,40,Jämeräntaival,,,,19475518,,,0.146067252,walk,3094,17
