id,x,y,id,net_type,old_node_id,id_int
27032744,24.7900926,60.1864934,27032744,walk,27032744,424
27234762,24.7954581,60.181903,27234762,walk,27234762,425
27234763,24.7944331,60.1817881,27234763,walk,27234763,426
27234764,24.7948661,60.1814072,27234764,walk,27234764,427
27234768,24.7924439,60.1798362,27234768,walk,27234768,428
27234770,24.7909571,60.1808831,27234770,walk,27234770,429
27234771,24.79023,60.1809907,27234771,walk,27234771,430
27234996,24.803625,60.178635,27234996,walk,27234996,431
27234997,24.7984389,60.179157,27234997,walk,27234997,432
27299423,24.814639,60.1784019,27299423,walk,27299423,433
27299447,24.8200227,60.1789175,27299447,walk,27299447,434
27511294,24.8021334,60.1714767,27511294,walk,27511294,435
27511331,24.8027405,60.1690423,27511331,walk,27511331,436
27511332,24.8029876,60.1683425,27511332,walk,27511332,437
27511373,24.7925078,60.1726627,27511373,walk,27511373,438
27511375,24.7928501,60.1712971,27511375,walk,27511375,439
28838998,24.8124129,60.1723934,28838998,walk,28838998,440
28838999,24.8138292,60.1728152,28838999,walk,28838999,441
28839000,24.8146159,60.1733285,28839000,walk,28839000,442
28839001,24.8113126,60.1728534,28839001,walk,28839001,443
28839002,24.8118129,60.1731702,28839002,walk,28839002,444
28839003,24.812847,60.1730818,28839003,walk,28839003,445
28839005,24.8121007,60.1738109,28839005,walk,28839005,446
28839006,24.8134287,60.1724791,28839006,walk,28839006,447
28839008,24.8101048,60.1734396,28839008,walk,28839008,448
28839009,24.8084333,60.1745641,28839009,walk,28839009,449
28839010,24.8080866,60.174743,28839010,walk,28839010,450
28839011,24.8073039,60.1746341,28839011,walk,28839011,451
28839014,24.7997448,60.1766634,28839014,walk,28839014,452
28839015,24.803025,60.1770938,28839015,walk,28839015,453
28839016,24.7996241,60.1793245,28839016,walk,28839016,454
28839019,24.8030043,60.1798898,28839019,walk,28839019,455
28839021,24.8020087,60.1805588,28839021,walk,28839021,456
28839079,24.7977135,60.1833306,28839079,walk,28839079,457
28839080,24.7978033,60.183261,28839080,walk,28839080,458
28964941,24.8182107,60.1781726,28964941,walk,28964941,459
29274619,24.8048767,60.1960128,29274619,walk,29274619,460
29274621,24.8012778,60.1944186,29274621,walk,29274621,461
29274624,24.7973891,60.1951156,29274624,walk,29274624,462
29274625,24.7980225,60.1938838,29274625,walk,29274625,463
29274627,24.7985079,60.1931474,29274627,walk,29274627,464
29274629,24.7985091,60.1912631,29274629,walk,29274629,465
29274630,24.7997521,60.190795,29274630,walk,29274630,466
29274632,24.7998166,60.1899981,29274632,walk,29274632,467
29276054,24.8108309,60.1704469,29276054,walk,29276054,468
29276161,24.8074257,60.1723485,29276161,walk,29276161,469
29276162,24.8075889,60.1728392,29276162,walk,29276162,470
29320453,24.8109531,60.1700388,29320453,walk,29320453,471
29340496,24.8054883,60.176683,29340496,walk,29340496,472
29340503,24.803658,60.1783305,29340503,walk,29340503,473
29340506,24.8034302,60.1808921,29340506,walk,29340506,474
29340508,24.8082355,60.181095,29340508,walk,29340508,475
29340513,24.8029353,60.1847672,29340513,walk,29340513,476
29340518,24.8005886,60.1843996,29340518,walk,29340518,477
29416840,24.8577232,60.1846236,29416840,walk,29416840,478
29418390,24.8072318,60.1722752,29418390,walk,29418390,479
29423333,24.7950239,60.1691598,29423333,walk,29423333,480
29423335,24.796524,60.1722119,29423335,walk,29423335,481
29423336,24.798806,60.1735892,29423336,walk,29423336,482
29423762,24.7987765,60.1742537,29423762,walk,29423762,483
29423764,24.79876,60.1745375,29423764,walk,29423764,484
29423765,24.7981756,60.174673,29423765,walk,29423765,485
