education,food,groceries,nightlife,x,y
0,1,0,0,-71.1029409,42.3642246
0,0,1,0,-71.1080821,42.3575368
0,1,0,0,-71.101199,42.3636932
0,1,0,0,-71.0704573,42.3619345
0,1,0,0,-71.070232,42.3617561
0,1,0,1,-71.0701194,42.3619187
0,1,0,0,-71.0968465,42.3630748
0,1,0,0,-71.1009413,42.3691324
0,1,0,0,-71.1002506,42.3621013
0,1,0,0,-71.1049217,42.377249
0,1,0,0,-71.0940613,42.3796967
0,1,0,0,-71.1063823,42.3781177
0,1,0,0,-71.1067196,42.3783568
0,1,0,0,-71.1065873,42.3780743
0,1,0,0,-71.104651,42.3654052
0,1,0,0,-71.0389703,42.3486271
0,1,0,0,-71.0552173,42.3608989
0,1,0,0,-71.1237042,42.3438208
0,1,0,0,-71.1230122,42.3434362
0,1,0,0,-71.0725379,42.3506432
0,1,0,0,-71.0615394,42.3712299
0,0,0,1,-71.1306156,42.3501012
0,1,0,1,-71.061679,42.358091
0,1,0,0,-71.054828,42.363613
0,1,0,1,-71.0913087,42.3664143
0,1,0,0,-71.0986205,42.3634752
0,0,1,0,-71.1054416,42.3662106
0,0,0,1,-71.1052914,42.366126
0,1,0,0,-71.1024255,42.3648367
0,1,0,0,-71.1047721,42.3654032
0,1,0,1,-71.0905496,42.3665592
0,1,0,0,-71.0906363,42.3662609
0,1,0,0,-71.0907953,42.3664458
0,1,0,1,-71.0906974,42.3662087
0,1,0,0,-71.0831628,42.363423
0,1,0,0,-71.0834658,42.3634943
0,1,0,0,-71.101103,42.3741265
0,0,0,1,-71.0752954,42.3422326
0,1,0,0,-71.075363,42.3422009
0,1,0,0,-71.0224001,42.3648346
0,1,0,0,-71.0219728,42.3643493
0,1,0,0,-71.0202405,42.3705188
0,1,0,0,-71.0195193,42.37007
0,1,0,0,-71.0568572,42.3654041
0,1,0,1,-71.0988075,42.3735612
0,0,1,0,-71.1030191,42.375891
0,1,0,1,-71.0536691,42.3547148
1,0,0,0,-71.0656808,42.3521996
0,1,0,0,-71.05015,42.356244
0,1,0,0,-71.0486814,42.3538553
0,1,0,1,-71.0712442,42.3559337
0,0,1,0,-71.079679,42.3474305
0,1,0,0,-71.0482916,42.3504639
0,1,0,0,-71.0487544,42.3512481
0,1,0,0,-71.051101,42.3465589
0,1,0,0,-71.05574,42.36406
0,1,0,1,-71.083638,42.348597
0,1,0,1,-71.083389,42.34863
0,0,1,0,-71.084239,42.34838
0,1,0,1,-71.084265,42.348914
0,1,0,0,-71.084407,42.34926
1,0,0,0,-71.0857676,42.3484628
1,0,0,0,-71.0716153,42.3356229
0,1,0,0,-71.0831708,42.3646081
0,1,0,0,-71.1020228,42.3641718
0,1,0,0,-71.1007933,42.3738746
0,1,0,0,-71.1011293,42.3636635
0,1,0,0,-71.0985732,42.373561
1,0,0,0,-71.1020204,42.3498642
0,1,0,0,-71.1040558,42.3493957
0,0,1,0,-71.1045874,42.3494665
0,0,1,0,-71.1158287,42.3521337
0,0,1,0,-71.1082649,42.3505004
0,1,0,0,-71.0969245,42.3502982
0,1,0,0,-71.1198091,42.3525797
0,1,0,0,-71.1073101,42.3498593
0,1,0,0,-71.1063293,42.3496762
0,1,0,0,-71.1217868,42.3515752
0,1,0,0,-71.1157486,42.3522669
0,1,0,0,-71.1003126,42.3731225
0,1,0,1,-71.0915662,42.3726221
